score,judge,athlete,item,judge_athlete,judge_item,athlete_item
7.75,2,women103,Performance,27,8,52
7.75,3,women103,Performance,52,13,52
7.5,4,women103,Performance,77,18,52
7.5,5,women103,Performance,102,23,52
8.25,6,women103,Performance,127,28,52
7.75,7,women103,Performance,152,33,52
7.75,8,women103,Performance,177,38,52
8,9,women103,Performance,202,43,52
7.75,1,women103,Skating Skills,2,4,77
7.75,2,women103,Skating Skills,27,9,77
7.5,3,women103,Skating Skills,52,14,77
7.75,4,women103,Skating Skills,77,19,77
7.5,5,women103,Skating Skills,102,24,77
8,6,women103,Skating Skills,127,29,77
8,7,women103,Skating Skills,152,34,77
7.75,8,women103,Skating Skills,177,39,77
7.75,9,women103,Skating Skills,202,44,77
7.5,1,women103,Transitions,2,5,102
7.75,2,women103,Transitions,27,10,102
7.25,3,women103,Transitions,52,15,102
7.5,4,women103,Transitions,77,20,102
7.75,5,women103,Transitions,102,25,102
7.5,6,women103,Transitions,127,30,102
7.75,7,women103,Transitions,152,35,102
7.5,8,women103,Transitions,177,40,102
8,9,women103,Transitions,202,45,102
7.75,1,women109,Composition,3,1,3
7.75,2,women109,Composition,28,6,3
7.5,3,women109,Composition,53,11,3
7.5,4,women109,Composition,78,16,3
7.75,5,women109,Composition,103,21,3
7.5,6,women109,Composition,128,26,3
7.25,7,women109,Composition,153,31,3
7.75,8,women109,Composition,178,36,3
8.25,9,women109,Composition,203,41,3
7.75,1,women109,Interpretation,3,2,28
7.5,2,women109,Interpretation,28,7,28
7.5,3,women109,Interpretation,53,12,28
7.75,4,women109,Interpretation,78,17,28
7.5,5,women109,Interpretation,103,22,28
7.75,6,women109,Interpretation,128,27,28
7.5,7,women109,Interpretation,153,32,28
7.5,8,women109,Interpretation,178,37,28
8.5,9,women109,Interpretation,203,42,28
7.5,1,women109,Performance,3,3,53
7.5,2,women109,Performance,28,8,53
7.5,3,women109,Performance,53,13,53
7.5,4,women109,Performance,78,18,53
7.5,5,women109,Performance,103,23,53
7.5,6,women109,Performance,128,28,53
7.5,7,women109,Performance,153,33,53
7.25,8,women109,Performance,178,38,53
8,9,women109,Performance,203,43,53
7.75,1,women109,Skating Skills,3,4,78
7.25,2,women109,Skating Skills,28,9,78
7.5,3,women109,Skating Skills,53,14,78
7.75,4,women109,Skating Skills,78,19,78
7.5,5,women109,Skating Skills,103,24,78
7.75,6,women109,Skating Skills,128,29,78
7.5,7,women109,Skating Skills,153,34,78
7.5,8,women109,Skating Skills,178,39,78
7.75,9,women109,Skating Skills,203,44,78
7.5,1,women109,Transitions,3,5,103
7.25,2,women109,Transitions,28,10,103
7.25,3,women109,Transitions,53,15,103
7.25,4,women109,Transitions,78,20,103
7.25,5,women109,Transitions,103,25,103
7.25,6,women109,Transitions,128,30,103
7.25,7,women109,Transitions,153,35,103
7.25,8,women109,Transitions,178,40,103
7.75,9,women109,Transitions,203,45,103
7.5,1,women115,Composition,4,1,4
7.5,2,women115,Composition,29,6,4
7.25,3,women115,Composition,54,11,4
7,4,women115,Composition,79,16,4
7.5,5,women115,Composition,104,21,4
7.5,6,women115,Composition,129,26,4
7.5,7,women115,Composition,154,31,4
7.75,8,women115,Composition,179,36,4
7.5,9,women115,Composition,204,41,4
7.5,1,women115,Interpretation,4,2,29
7.5,2,women115,Interpretation,29,7,29
7.5,3,women115,Interpretation,54,12,29
7.25,4,women115,Interpretation,79,17,29
7.5,5,women115,Interpretation,104,22,29
7.75,6,women115,Interpretation,129,27,29
7.5,7,women115,Interpretation,154,32,29
7.5,8,women115,Interpretation,179,37,29
7.25,9,women115,Interpretation,204,42,29
7.75,1,women115,Performance,4,3,54
7.25,2,women115,Performance,29,8,54
7.5,3,women115,Performance,54,13,54
7.25,4,women115,Performance,79,18,54
7.75,5,women115,Performance,104,23,54
7.25,6,women115,Performance,129,28,54
7.25,7,women115,Performance,154,33,54
7,8,women115,Performance,179,38,54
7.25,9,women115,Performance,204,43,54
7.5,1,women115,Skating Skills,4,4,79
7.75,2,women115,Skating Skills,29,9,79
7.25,3,women115,Skating Skills,54,14,79
7.25,4,women115,Skating Skills,79,19,79
7.5,5,women115,Skating Skills,104,24,79
7.5,6,women115,Skating Skills,129,29,79
7.5,7,women115,Skating Skills,154,34,79
7.25,8,women115,Skating Skills,179,39,79
7.5,9,women115,Skating Skills,204,44,79
7.25,1,women115,Transitions,4,5,104
7.5,2,women115,Transitions,29,10,104
7,3,women115,Transitions,54,15,104
6.75,4,women115,Transitions,79,20,104
7.25,5,women115,Transitions,104,25,104
7.25,6,women115,Transitions,129,30,104
7.25,7,women115,Transitions,154,35,104
7,8,women115,Transitions,179,40,104
6.75,9,women115,Transitions,204,45,104
7.5,1,women121,Composition,5,1,5
7.25,2,women121,Composition,30,6,5
7.5,3,women121,Composition,55,11,5
7.5,4,women121,Composition,80,16,5
7.5,5,women121,Composition,105,21,5
7.25,6,women121,Composition,130,26,5
7.25,7,women121,Composition,155,31,5
7.5,8,women121,Composition,180,36,5
7.5,9,women121,Composition,205,41,5
7.5,1,women121,Interpretation,5,2,30
6.75,2,women121,Interpretation,30,7,30
7.25,3,women121,Interpretation,55,12,30
7.25,4,women121,Interpretation,80,17,30
7.5,5,women121,Interpretation,105,22,30
7.5,6,women121,Interpretation,130,27,30
7.25,7,women121,Interpretation,155,32,30
7.25,8,women121,Interpretation,180,37,30
7.25,9,women121,Interpretation,205,42,30
7.25,1,women121,Performance,5,3,55
6.75,2,women121,Performance,30,8,55
7.5,3,women121,Performance,55,13,55
7.25,4,women121,Performance,80,18,55
7.25,5,women121,Performance,105,23,55
7.5,6,women121,Performance,130,28,55
7,7,women121,Performance,155,33,55
7,8,women121,Performance,180,38,55
7.5,9,women121,Performance,205,43,55
7.5,1,women121,Skating Skills,5,4,80
7.25,2,women121,Skating Skills,30,9,80
7.5,3,women121,Skating Skills,55,14,80
7.5,4,women121,Skating Skills,80,19,80
7.25,5,women121,Skating Skills,105,24,80
7.25,6,women121,Skating Skills,130,29,80
6.75,7,women121,Skating Skills,155,34,80
7.25,8,women121,Skating Skills,180,39,80
7.5,9,women121,Skating Skills,205,44,80
7.25,1,women121,Transitions,5,5,105
7.25,2,women121,Transitions,30,10,105
7.25,3,women121,Transitions,55,15,105
7,4,women121,Transitions,80,20,105
7,5,women121,Transitions,105,25,105
7,6,women121,Transitions,130,30,105
6.75,7,women121,Transitions,155,35,105
7.25,8,women121,Transitions,180,40,105
6.5,9,women121,Transitions,205,45,105
7,1,women127,Composition,6,1,6
7.5,2,women127,Composition,31,6,6
7,3,women127,Composition,56,11,6
7.5,4,women127,Composition,81,16,6
7.25,5,women127,Composition,106,21,6
7.5,6,women127,Composition,131,26,6
7.25,7,women127,Composition,156,31,6
7.5,8,women127,Composition,181,36,6
7.5,9,women127,Composition,206,41,6
7.25,1,women127,Interpretation,6,2,31
7.25,2,women127,Interpretation,31,7,31
7.25,3,women127,Interpretation,56,12,31
7.25,4,women127,Interpretation,81,17,31
7.25,5,women127,Interpretation,106,22,31
7.5,6,women127,Interpretation,131,27,31
7.25,7,women127,Interpretation,156,32,31
7.25,8,women127,Interpretation,181,37,31
7.25,9,women127,Interpretation,206,42,31
7.25,1,women127,Performance,6,3,56
7,2,women127,Performance,31,8,56
7.25,3,women127,Performance,56,13,56
7.25,4,women127,Performance,81,18,56
7.5,5,women127,Performance,106,23,56
7.25,6,women127,Performance,131,28,56
7,7,women127,Performance,156,33,56
7.5,8,women127,Performance,181,38,56
7.5,9,women127,Performance,206,43,56
7.25,1,women127,Skating Skills,6,4,81
7.25,2,women127,Skating Skills,31,9,81
7,3,women127,Skating Skills,56,14,81
7.25,4,women127,Skating Skills,81,19,81
7.5,5,women127,Skating Skills,106,24,81
7.25,6,women127,Skating Skills,131,29,81
7,7,women127,Skating Skills,156,34,81
7.5,8,women127,Skating Skills,181,39,81
7.5,9,women127,Skating Skills,206,44,81
7,1,women127,Transitions,6,5,106
7,2,women127,Transitions,31,10,106
7,3,women127,Transitions,56,15,106
7,4,women127,Transitions,81,20,106
7,5,women127,Transitions,106,25,106
6.75,6,women127,Transitions,131,30,106
6.75,7,women127,Transitions,156,35,106
7,8,women127,Transitions,181,40,106
7.25,9,women127,Transitions,206,45,106
9,1,women13,Composition,7,1,7
9.5,2,women13,Composition,32,6,7
8.75,3,women13,Composition,57,11,7
9.5,4,women13,Composition,82,16,7
9,5,women13,Composition,107,21,7
9.25,6,women13,Composition,132,26,7
9.75,7,women13,Composition,157,31,7
9.5,8,women13,Composition,182,36,7
9.5,9,women13,Composition,207,41,7
8.75,1,women13,Interpretation,7,2,32
9.5,2,women13,Interpretation,32,7,32
9,3,women13,Interpretation,57,12,32
9.25,4,women13,Interpretation,82,17,32
9.25,5,women13,Interpretation,107,22,32
9.25,6,women13,Interpretation,132,27,32
9.75,7,women13,Interpretation,157,32,32
9.25,8,women13,Interpretation,182,37,32
9.5,9,women13,Interpretation,207,42,32
8.75,1,women13,Performance,7,3,57
9.75,2,women13,Performance,32,8,57
9,3,women13,Performance,57,13,57
9.25,4,women13,Performance,82,18,57
9.5,5,women13,Performance,107,23,57
9.5,6,women13,Performance,132,28,57
10,7,women13,Performance,157,33,57
9.25,8,women13,Performance,182,38,57
9.5,9,women13,Performance,207,43,57
9.25,1,women13,Skating Skills,7,4,82
9.75,2,women13,Skating Skills,32,9,82
9.25,3,women13,Skating Skills,57,14,82
9.5,4,women13,Skating Skills,82,19,82
9.5,5,women13,Skating Skills,107,24,82
9.5,6,women13,Skating Skills,132,29,82
9.5,7,women13,Skating Skills,157,34,82
9.5,8,women13,Skating Skills,182,39,82
9.5,9,women13,Skating Skills,207,44,82
8.5,1,women13,Transitions,7,5,107
9.5,2,women13,Transitions,32,10,107
8.75,3,women13,Transitions,57,15,107
9.25,4,women13,Transitions,82,20,107
9,5,women13,Transitions,107,25,107
9,6,women13,Transitions,132,30,107
9.75,7,women13,Transitions,157,35,107
8.75,8,women13,Transitions,182,40,107
9,9,women13,Transitions,207,45,107
7.75,1,women133,Composition,8,1,8
7.5,2,women133,Composition,33,6,8
7,3,women133,Composition,58,11,8
7.5,4,women133,Composition,83,16,8
7.75,5,women133,Composition,108,21,8
7.5,6,women133,Composition,133,26,8
7.5,7,women133,Composition,158,31,8
8,8,women133,Composition,183,36,8
8.25,9,women133,Composition,208,41,8
7.25,1,women133,Interpretation,8,2,33
7.25,2,women133,Interpretation,33,7,33
7,3,women133,Interpretation,58,12,33
7.25,4,women133,Interpretation,83,17,33
7.25,5,women133,Interpretation,108,22,33
7.25,6,women133,Interpretation,133,27,33
7.25,7,women133,Interpretation,158,32,33
7.75,8,women133,Interpretation,183,37,33
7.75,9,women133,Interpretation,208,42,33
7.25,1,women133,Performance,8,3,58
7,2,women133,Performance,33,8,58
7.25,3,women133,Performance,58,13,58
7.25,4,women133,Performance,83,18,58
7.5,5,women133,Performance,108,23,58
7.25,6,women133,Performance,133,28,58
6.5,7,women133,Performance,158,33,58
7.5,8,women133,Performance,183,38,58
7.25,9,women133,Performance,208,43,58
7.75,1,women133,Skating Skills,8,4,83
7.75,2,women133,Skating Skills,33,9,83
7.25,3,women133,Skating Skills,58,14,83
7.75,4,women133,Skating Skills,83,19,83
7.75,5,women133,Skating Skills,108,24,83
8.25,6,women133,Skating Skills,133,29,83
8,7,women133,Skating Skills,158,34,83
7.75,8,women133,Skating Skills,183,39,83
8.25,9,women133,Skating Skills,208,44,83
7.5,1,women133,Transitions,8,5,108
7.5,2,women133,Transitions,33,10,108
7,3,women133,Transitions,58,15,108
7.5,4,women133,Transitions,83,20,108
7.25,5,women133,Transitions,108,25,108
7.25,6,women133,Transitions,133,30,108
7.75,7,women133,Transitions,158,35,108
8,8,women133,Transitions,183,40,108
8,9,women133,Transitions,208,45,108
6.5,1,women139,Composition,9,1,9
6.5,2,women139,Composition,34,6,9
6,3,women139,Composition,59,11,9
7,4,women139,Composition,84,16,9
6.25,5,women139,Composition,109,21,9
6.75,6,women139,Composition,134,26,9
6.25,7,women139,Composition,159,31,9
6.5,8,women139,Composition,184,36,9
6.5,9,women139,Composition,209,41,9
6.75,1,women139,Interpretation,9,2,34
6.25,2,women139,Interpretation,34,7,34
6.25,3,women139,Interpretation,59,12,34
6.75,4,women139,Interpretation,84,17,34
6.25,5,women139,Interpretation,109,22,34
6.5,6,women139,Interpretation,134,27,34
6.5,7,women139,Interpretation,159,32,34
6,8,women139,Interpretation,184,37,34
6,9,women139,Interpretation,209,42,34
6.75,1,women139,Performance,9,3,59
6.5,2,women139,Performance,34,8,59
6.25,3,women139,Performance,59,13,59
6.75,4,women139,Performance,84,18,59
6.5,5,women139,Performance,109,23,59
6.5,6,women139,Performance,134,28,59
6.25,7,women139,Performance,159,33,59
5.75,8,women139,Performance,184,38,59
6.5,9,women139,Performance,209,43,59
6.75,1,women139,Skating Skills,9,4,84
6.75,2,women139,Skating Skills,34,9,84
6.5,3,women139,Skating Skills,59,14,84
7,4,women139,Skating Skills,84,19,84
6,5,women139,Skating Skills,109,24,84
6.5,6,women139,Skating Skills,134,29,84
6.5,7,women139,Skating Skills,159,34,84
6.25,8,women139,Skating Skills,184,39,84
6.5,9,women139,Skating Skills,209,44,84
6.5,1,women139,Transitions,9,5,109
6.5,2,women139,Transitions,34,10,109
6,3,women139,Transitions,59,15,109
6.75,4,women139,Transitions,84,20,109
6.25,5,women139,Transitions,109,25,109
6.25,6,women139,Transitions,134,30,109
6,7,women139,Transitions,159,35,109
6,8,women139,Transitions,184,40,109
6,9,women139,Transitions,209,45,109
6.75,1,women145,Composition,10,1,10
7,2,women145,Composition,35,6,10
6.25,3,women145,Composition,60,11,10
7.5,4,women145,Composition,85,16,10
6.25,5,women145,Composition,110,21,10
7.25,6,women145,Composition,135,26,10
6.25,7,women145,Composition,160,31,10
7,8,women145,Composition,185,36,10
7.25,9,women145,Composition,210,41,10
6.5,1,women145,Interpretation,10,2,35
6.75,2,women145,Interpretation,35,7,35
6.5,3,women145,Interpretation,60,12,35
7.25,4,women145,Interpretation,85,17,35
6.5,5,women145,Interpretation,110,22,35
7.25,6,women145,Interpretation,135,27,35
6.5,7,women145,Interpretation,160,32,35
6.75,8,women145,Interpretation,185,37,35
7.25,9,women145,Interpretation,210,42,35
6.25,1,women145,Performance,10,3,60
6.5,2,women145,Performance,35,8,60
6.5,3,women145,Performance,60,13,60
7,4,women145,Performance,85,18,60
6,5,women145,Performance,110,23,60
7,6,women145,Performance,135,28,60
6,7,women145,Performance,160,33,60
6.25,8,women145,Performance,185,38,60
6.75,9,women145,Performance,210,43,60
6.75,1,women145,Skating Skills,10,4,85
7.25,2,women145,Skating Skills,35,9,85
6.5,3,women145,Skating Skills,60,14,85
7.5,4,women145,Skating Skills,85,19,85
6.5,5,women145,Skating Skills,110,24,85
7.5,6,women145,Skating Skills,135,29,85
7,7,women145,Skating Skills,160,34,85
7,8,women145,Skating Skills,185,39,85
7.5,9,women145,Skating Skills,210,44,85
6.5,1,women145,Transitions,10,5,110
7,2,women145,Transitions,35,10,110
6.25,3,women145,Transitions,60,15,110
7,4,women145,Transitions,85,20,110
6,5,women145,Transitions,110,25,110
7.25,6,women145,Transitions,135,30,110
6.5,7,women145,Transitions,160,35,110
6.5,8,women145,Transitions,185,40,110
7,9,women145,Transitions,210,45,110
8.25,1,women19,Composition,11,1,11
8.75,2,women19,Composition,36,6,11
8.25,3,women19,Composition,61,11,11
8.5,4,women19,Composition,86,16,11
8.75,5,women19,Composition,111,21,11
8.75,6,women19,Composition,136,26,11
8.5,7,women19,Composition,161,31,11
8.75,8,women19,Composition,186,36,11
8.5,9,women19,Composition,211,41,11
8.5,1,women19,Interpretation,11,2,36
8.75,2,women19,Interpretation,36,7,36
8.5,3,women19,Interpretation,61,12,36
8.5,4,women19,Interpretation,86,17,36
8.75,5,women19,Interpretation,111,22,36
8.75,6,women19,Interpretation,136,27,36
8.5,7,women19,Interpretation,161,32,36
8.5,8,women19,Interpretation,186,37,36
8.75,9,women19,Interpretation,211,42,36
8.5,1,women19,Performance,11,3,61
8.75,2,women19,Performance,36,8,61
8.25,3,women19,Performance,61,13,61
8.5,4,women19,Performance,86,18,61
8.75,5,women19,Performance,111,23,61
9,6,women19,Performance,136,28,61
8.75,7,women19,Performance,161,33,61
8.75,8,women19,Performance,186,38,61
9,9,women19,Performance,211,43,61
8.5,1,women19,Skating Skills,11,4,86
8.75,2,women19,Skating Skills,36,9,86
8.5,3,women19,Skating Skills,61,14,86
8.25,4,women19,Skating Skills,86,19,86
8.5,5,women19,Skating Skills,111,24,86
9,6,women19,Skating Skills,136,29,86
8.75,7,women19,Skating Skills,161,34,86
8.5,8,women19,Skating Skills,186,39,86
8.75,9,women19,Skating Skills,211,44,86
8.25,1,women19,Transitions,11,5,111
8.5,2,women19,Transitions,36,10,111
8.25,3,women19,Transitions,61,15,111
8.25,4,women19,Transitions,86,20,111
8.5,5,women19,Transitions,111,25,111
8.75,6,women19,Transitions,136,30,111
8.25,7,women19,Transitions,161,35,111
8.25,8,women19,Transitions,186,40,111
8.5,9,women19,Transitions,211,45,111
9,1,women25,Composition,12,1,12
8.75,2,women25,Composition,37,6,12
9.25,3,women25,Composition,62,11,12
9,4,women25,Composition,87,16,12
8.75,5,women25,Composition,112,21,12
9.25,6,women25,Composition,137,26,12
9,7,women25,Composition,162,31,12
9,8,women25,Composition,187,36,12
9.25,9,women25,Composition,212,41,12
8.75,1,women25,Interpretation,12,2,37
8,2,women25,Interpretation,37,7,37
8.75,3,women25,Interpretation,62,12,37
8.75,4,women25,Interpretation,87,17,37
8.5,5,women25,Interpretation,112,22,37
9,6,women25,Interpretation,137,27,37
8.5,7,women25,Interpretation,162,32,37
8.5,8,women25,Interpretation,187,37,37
8.75,9,women25,Interpretation,212,42,37
8.5,1,women25,Performance,12,3,62
7.75,2,women25,Performance,37,8,62
8.75,3,women25,Performance,62,13,62
8.75,4,women25,Performance,87,18,62
8.5,5,women25,Performance,112,23,62
8.75,6,women25,Performance,137,28,62
8,7,women25,Performance,162,33,62
8.5,8,women25,Performance,187,38,62
8.25,9,women25,Performance,212,43,62
9.25,1,women25,Skating Skills,12,4,87
9,2,women25,Skating Skills,37,9,87
9.25,3,women25,Skating Skills,62,14,87
9.25,4,women25,Skating Skills,87,19,87
9,5,women25,Skating Skills,112,24,87
9,6,women25,Skating Skills,137,29,87
9,7,women25,Skating Skills,162,34,87
9.25,8,women25,Skating Skills,187,39,87
9,9,women25,Skating Skills,212,44,87
8.75,1,women25,Transitions,12,5,112
8.75,2,women25,Transitions,37,10,112
9,3,women25,Transitions,62,15,112
9,4,women25,Transitions,87,20,112
8.75,5,women25,Transitions,112,25,112
9,6,women25,Transitions,137,30,112
8.75,7,women25,Transitions,162,35,112
9,8,women25,Transitions,187,40,112
9,9,women25,Transitions,212,45,112
8.75,1,women31,Composition,13,1,13
8.75,2,women31,Composition,38,6,13
8.25,3,women31,Composition,63,11,13
8.5,4,women31,Composition,88,16,13
9,5,women31,Composition,113,21,13
8.75,6,women31,Composition,138,26,13
9.5,7,women31,Composition,163,31,13
8.5,8,women31,Composition,188,36,13
9,9,women31,Composition,213,41,13
8.25,1,women31,Interpretation,13,2,38
8.75,2,women31,Interpretation,38,7,38
8.5,3,women31,Interpretation,63,12,38
8.75,4,women31,Interpretation,88,17,38
8.75,5,women31,Interpretation,113,22,38
8.75,6,women31,Interpretation,138,27,38
9.25,7,women31,Interpretation,163,32,38
8.25,8,women31,Interpretation,188,37,38
9,9,women31,Interpretation,213,42,38
8.25,1,women31,Performance,13,3,63
8.5,2,women31,Performance,38,8,63
8.25,3,women31,Performance,63,13,63
8.5,4,women31,Performance,88,18,63
8.75,5,women31,Performance,113,23,63
9.25,6,women31,Performance,138,28,63
9.5,7,women31,Performance,163,33,63
8.5,8,women31,Performance,188,38,63
9,9,women31,Performance,213,43,63
8.5,1,women31,Skating Skills,13,4,88
8.75,2,women31,Skating Skills,38,9,88
8.75,3,women31,Skating Skills,63,14,88
8.75,4,women31,Skating Skills,88,19,88
8.5,5,women31,Skating Skills,113,24,88
9,6,women31,Skating Skills,138,29,88
9.25,7,women31,Skating Skills,163,34,88
8.5,8,women31,Skating Skills,188,39,88
8.75,9,women31,Skating Skills,213,44,88
8.25,1,women31,Transitions,13,5,113
8.5,2,women31,Transitions,38,10,113
8.25,3,women31,Transitions,63,15,113
8.5,4,women31,Transitions,88,20,113
8.5,5,women31,Transitions,113,25,113
8.5,6,women31,Transitions,138,30,113
9.25,7,women31,Transitions,163,35,113
8.25,8,women31,Transitions,188,40,113
8.75,9,women31,Transitions,213,45,113
8.25,1,women37,Composition,14,1,14
8.5,2,women37,Composition,39,6,14
8.25,3,women37,Composition,64,11,14
8.5,4,women37,Composition,89,16,14
8.5,5,women37,Composition,114,21,14
8.75,6,women37,Composition,139,26,14
8.5,7,women37,Composition,164,31,14
8.5,8,women37,Composition,189,36,14
8.5,9,women37,Composition,214,41,14
8.25,1,women37,Interpretation,14,2,39
8.25,2,women37,Interpretation,39,7,39
8.5,3,women37,Interpretation,64,12,39
8.25,4,women37,Interpretation,89,17,39
8.5,5,women37,Interpretation,114,22,39
9,6,women37,Interpretation,139,27,39
8.5,7,women37,Interpretation,164,32,39
8.5,8,women37,Interpretation,189,37,39
8.75,9,women37,Interpretation,214,42,39
8.5,1,women37,Performance,14,3,64
8.5,2,women37,Performance,39,8,64
8.5,3,women37,Performance,64,13,64
8.5,4,women37,Performance,89,18,64
8.75,5,women37,Performance,114,23,64
9,6,women37,Performance,139,28,64
8.5,7,women37,Performance,164,33,64
8.75,8,women37,Performance,189,38,64
8.75,9,women37,Performance,214,43,64
8.25,1,women37,Skating Skills,14,4,89
8.25,2,women37,Skating Skills,39,9,89
8.5,3,women37,Skating Skills,64,14,89
8.25,4,women37,Skating Skills,89,19,89
8.5,5,women37,Skating Skills,114,24,89
8.5,6,women37,Skating Skills,139,29,89
8.5,7,women37,Skating Skills,164,34,89
8.25,8,women37,Skating Skills,189,39,89
8.25,9,women37,Skating Skills,214,44,89
8,1,women37,Transitions,14,5,114
8,2,women37,Transitions,39,10,114
8.25,3,women37,Transitions,64,15,114
8.5,4,women37,Transitions,89,20,114
8.25,5,women37,Transitions,114,25,114
8.5,6,women37,Transitions,139,30,114
8.25,7,women37,Transitions,164,35,114
8.25,8,women37,Transitions,189,40,114
8.5,9,women37,Transitions,214,45,114
8.25,1,women43,Composition,15,1,15
8.75,2,women43,Composition,40,6,15
9,3,women43,Composition,65,11,15
8.5,4,women43,Composition,90,16,15
8.5,5,women43,Composition,115,21,15
8.5,6,women43,Composition,140,26,15
8.5,7,women43,Composition,165,31,15
8.75,8,women43,Composition,190,36,15
8.5,9,women43,Composition,215,41,15
8.25,1,women43,Interpretation,15,2,40
8.75,2,women43,Interpretation,40,7,40
9,3,women43,Interpretation,65,12,40
8.75,4,women43,Interpretation,90,17,40
8.75,5,women43,Interpretation,115,22,40
9,6,women43,Interpretation,140,27,40
8.75,7,women43,Interpretation,165,32,40
9,8,women43,Interpretation,190,37,40
8.5,9,women43,Interpretation,215,42,40
8.5,1,women43,Performance,15,3,65
8.75,2,women43,Performance,40,8,65
8.75,3,women43,Performance,65,13,65
8.75,4,women43,Performance,90,18,65
8.5,5,women43,Performance,115,23,65
9,6,women43,Performance,140,28,65
8.75,7,women43,Performance,165,33,65
8.75,8,women43,Performance,190,38,65
8.75,9,women43,Performance,215,43,65
8.25,1,women43,Skating Skills,15,4,90
8.75,2,women43,Skating Skills,40,9,90
8.5,3,women43,Skating Skills,65,14,90
8.75,4,women43,Skating Skills,90,19,90
8.25,5,women43,Skating Skills,115,24,90
8.75,6,women43,Skating Skills,140,29,90
8.25,7,women43,Skating Skills,165,34,90
8.25,8,women43,Skating Skills,190,39,90
8.5,9,women43,Skating Skills,215,44,90
8,1,women43,Transitions,15,5,115
8.5,2,women43,Transitions,40,10,115
8.5,3,women43,Transitions,65,15,115
8.5,4,women43,Transitions,90,20,115
8.25,5,women43,Transitions,115,25,115
8.5,6,women43,Transitions,140,30,115
8.25,7,women43,Transitions,165,35,115
8.25,8,women43,Transitions,190,40,115
8.5,9,women43,Transitions,215,45,115
8.75,1,women49,Composition,16,1,16
9,2,women49,Composition,41,6,16
9.25,3,women49,Composition,66,11,16
8.75,4,women49,Composition,91,16,16
8.75,5,women49,Composition,116,21,16
9,6,women49,Composition,141,26,16
9,7,women49,Composition,166,31,16
9.5,8,women49,Composition,191,36,16
8.75,9,women49,Composition,216,41,16
8.75,1,women49,Interpretation,16,2,41
9.25,2,women49,Interpretation,41,7,41
9,3,women49,Interpretation,66,12,41
9,4,women49,Interpretation,91,17,41
9,5,women49,Interpretation,116,22,41
8.75,6,women49,Interpretation,141,27,41
9,7,women49,Interpretation,166,32,41
9.25,8,women49,Interpretation,191,37,41
9.25,9,women49,Interpretation,216,42,41
8.75,1,women49,Performance,16,3,66
8.75,2,women49,Performance,41,8,66
9,3,women49,Performance,66,13,66
8.75,4,women49,Performance,91,18,66
8.75,5,women49,Performance,116,23,66
8.75,6,women49,Performance,141,28,66
9,7,women49,Performance,166,33,66
9.5,8,women49,Performance,191,38,66
8.75,9,women49,Performance,216,43,66
8.75,1,women49,Skating Skills,16,4,91
